FANTASYCALC DYNASTY VALUES - 10 TEAM, 1QB, 1.0 PPR
Pulled: 2026-05-08
Source: https://api.fantasycalc.com/values/current?isDynasty=true&numQbs=1&numTeams=10&ppr=1
Total entries: 462

Columns: OverallRank | PosRank | Player | Pos | Team | Age | YOE | Value | Trend30D | RedraftValue | Tier | TradeFreq
  90 |  15 | Jordan Love                  | QB  | GB   |  27.5 |   6 |   2125 |     13 |    685 |   24 |  0.0077
  91 |  37 | Alec Pierce                  | WR  | IND  |    26 |   4 |   2114 |   -211 |    963 |   25 |  0.0125
  92 |  16 | 2028 1st                     | PICK | FA   |     ? |   ? |   2098 |      2 |      0 |   25 |        
  92 |  17 | 2026 Pick 2.02               | PICK | FA   |     ? |   ? |   2080 |    452 |      0 |   25 |        
  92 |  38 | Terry McLaurin               | WR  | WAS  |  30.7 |   7 |   2062 |    -30 |   1980 |   25 |  0.0104
  93 |  16 | Dak Prescott                 | QB  | DAL  |  32.8 |  10 |   2058 |    -41 |   1199 |   25 |  0.0068
  94 |  30 | Zach Charbonnet              | RB  | SEA  |  25.3 |   3 |   2056 |     21 |   1342 |   25 |  0.0085
  95 |  31 | Nicholas Singleton           | RB  | TEN  |  22.4 |   0 |   2053 |     77 |    565 |   25 |  0.0099
  96 |  39 | Travis Hunter                | WR  | JAX  |    23 |   1 |   2050 |   -151 |    339 |   25 |  0.0115
  97 |  40 | Chris Bell                   | WR  | MIA  |  21.9 |   0 |   2030 |    429 |    203 |   25 |    0.01
  98 |  32 | Kyle Monangai                | RB  | CHI  |  23.9 |   1 |   2027 |     60 |    905 |   25 |  0.0128
  99 |  41 | Davante Adams                | WR  | LAR  |  33.4 |  12 |   2021 |   -150 |   2586 |   25 |  0.0122
 100 |  11 | Oronde Gadsden               | TE  | LAC  |  22.9 |   1 |   2020 |   -107 |    226 |   25 |  0.0134
 101 |  17 | Cam Ward                     | QB  | TEN  |    24 |   1 |   2002 |    135 |    285 |   25 |    0.01
 102 |  42 | Jayden Reed                  | WR  | GB   |    26 |   3 |   1999 |    401 |    788 |   25 |  0.0095
 103 |  18 | 2029 1st                     | PICK | FA   |     ? |   ? |   1991 |     73 |      0 |   25 |        
 103 |  19 | 2026 Pick 2.03               | PICK | FA   |     ? |   ? |   1989 |    444 |      0 |   25 |        
 103 |  12 | George Kittle                | TE  | SF   |  32.6 |   9 |   1984 |    157 |   1881 |   25 |  0.0074
 104 |  43 | Josh Downs                   | WR  | IND  |  24.8 |   3 |   1930 |    360 |    475 |   26 |  0.0166
 105 |  44 | Michael Wilson               | WR  | ARI  |  26.2 |   3 |   1928 |   -124 |    718 |   26 |  0.0098
 106 |  20 | 2026 Pick 2.04               | PICK | FA   |     ? |   ? |   1905 |    435 |      0 |   26 |        
 106 |  45 | Christian Watson             | WR  | GB   |    27 |   4 |   1900 |    -16 |    830 |   26 |  0.0123
 107 |  46 | Mike Evans                   | WR  | SF   |  32.7 |  12 |   1885 |   -100 |   2043 |   26 |  0.0171
 108 |  47 | Antonio Williams             | WR  | WAS  |  21.8 |   0 |   1883 |    521 |    135 |   26 |    0.01
 109 |  48 | Wan'Dale Robinson            | WR  | TEN  |  25.4 |   4 |   1874 |   -149 |    506 |   26 |  0.0104
 110 |  49 | Ricky Pearsall               | WR  | SF   |  25.7 |   2 |   1867 |    -58 |    543 |   26 |  0.0121
 111 |  33 | Jaylen Warren                | RB  | PIT  |  27.5 |   4 |   1864 |     41 |   1532 |   26 |  0.0082
 112 |  34 | Emmett Johnson               | RB  | KC   |  22.6 |   0 |   1862 |   -157 |    420 |   26 |  0.0099
 113 |  50 | Michael Pittman              | WR  | PIT  |  28.6 |   6 |   1854 |   -120 |   1082 |   26 |  0.0102
 114 |  13 | Jake Ferguson                | TE  | DAL  |  27.3 |   4 |   1853 |     60 |    609 |   26 |  0.0077
 115 |  51 | Germie Bernard               | WR  | PIT  |  22.4 |   0 |   1830 |    322 |    154 |   27 |  0.0099
 116 |  21 | 2026 Pick 2.05               | PICK | FA   |     ? |   ? |   1829 |    426 |      0 |   27 |        
 116 |  35 | Rico Dowdle                  | RB  | PIT  |  27.9 |   6 |   1822 |   -101 |   1537 |   27 |  0.0101
 117 |  36 | Blake Corum                  | RB  | LAR  |  25.5 |   2 |   1806 |    -41 |    906 |   27 |  0.0106
 118 |  18 | C.J. Stroud                  | QB  | HOU  |  24.6 |   3 |   1795 |     42 |    191 |   27 |  0.0102
 119 |  19 | Baker Mayfield               | QB  | TB   |  31.1 |   8 |   1795 |     41 |    589 |   27 |   0.007
 120 |  52 | Parker Washington            | WR  | JAX  |  24.1 |   3 |   1775 |   -276 |    272 |   28 |  0.0112
 121 |  53 | Xavier Worthy                | WR  | KC   |    23 |   2 |   1770 |    -20 |    168 |   28 |  0.0105
 122 |  54 | Jakobi Meyers                | WR  | JAX  |  29.5 |   7 |   1761 |    116 |   1086 |   28 |  0.0086
 123 |  22 | 2026 Pick 2.06               | PICK | FA   |     ? |   ? |   1758 |    417 |      0 |   28 |        
 123 |  55 | Jayden Higgins               | WR  | HOU  |  23.4 |   1 |   1754 |    -94 |    188 |   28 |  0.0106
 124 |  14 | Dalton Kincaid               | TE  | BUF  |  26.6 |   3 |   1754 |     19 |    410 |   28 |  0.0072
 125 |  37 | J.K. Dobbins                 | RB  | DEN  |  27.4 |   6 |   1746 |   -113 |   1253 |   28 |  0.0085
 126 |  15 | Isaiah Likely                | TE  | NYG  |  26.1 |   4 |   1744 |   -105 |    348 |   28 |  0.0115
 127 |  23 | 2026 2nd                     | PICK | FA   |     ? |   ? |   1726 |    413 |      0 |   28 |        
 127 |  24 | 2026 Pick 2.07               | PICK | FA   |     ? |   ? |   1693 |    408 |      0 |   29 |        
